"theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","theta_8","theta_9","theta_10","theta_11","theta_12","theta_13","theta_14","theta_15","theta_16","iteration"
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,148
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,149
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,0.999,1e-08,1e-08,150
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,151
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,0.999,1e-08,0.999,152
0.999,0.999,1.0001999207279e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,153
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,154
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,155
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,156
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,157
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,158
0.999,1e-08,0.850624911647898,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,159
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.0658920179999741,1e-08,0.999,1e-08,1e-08,1e-08,160
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.00637827995586162,1e-08,0.999,1e-08,0.999,161
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,162
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,163
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,164
0.999,1e-08,1.00000602769261e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1.00000598229643e-08,1e-08,0.999,1e-08,1e-08,0.999,165
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,166
